25021,10,18,25,30,35,03,12,"1,123,599,303",7,"10,000,000",115,"117,927","335,200,766",2025-03-01
25020,01,09,12,22,29,05,09,"1,132,471,892",8,"8,494,966",146,"67,527","300,087,089",2025-02-26
25019,07,08,11,18,23,03,11,"1,159,248,699",7,"8,207,321",199,"56,096","296,357,549",2025-02-24
25018,01,07,09,20,28,01,04,"1,191,928,482",16,"7,273,028",84,"182,563","314,802,603",2025-02-22
25017,10,12,26,28,31,03,10,"1,260,507,194",1,"10,000,000",93,"144,416","288,044,955",2025-02-19
25016,05,07,12,20,29,08,12,"1,212,239,218",12,"6,900,770",157,"87,391","288,272,949",2025-02-17
25015,07,10,24,31,35,01,08,"1,290,950,589",4,"10,000,000",84,"178,523","314,676,590",2025-02-15
25014,05,19,22,29,35,02,10,"1,278,086,020",4,"10,000,000",128,"106,474","289,867,311",2025-02-12
25013,14,16,18,20,35,02,05,"1,260,404,090",5,"10,000,000",81,"201,895","289,136,668",2025-02-10
25012,02,18,19,21,25,02,11,"1,240,397,719",2,"10,000,000",97,"183,282","358,739,098",2025-02-08
25011,03,06,07,11,27,02,08,"1,183,329,142",5,"9,667,253",163,"65,086","373,437,138",2025-01-25
25010,05,21,28,30,32,07,12,"1,197,169,902",6,"10,000,000",86,"171,799","314,170,042",2025-01-22
25009,03,19,21,30,32,06,09,"1,207,630,140",5,"10,000,000",126,"108,815","308,814,993",2025-01-20
25008,01,05,07,13,35,05,12,"1,208,994,729",7,"10,000,000",132,"94,439","336,989,378",2025-01-18
25007,15,22,23,25,31,01,09,"1,221,403,982",1,"10,000,000",70,"271,022","311,942,681",2025-01-15
25006,03,04,13,19,35,03,10,"1,157,222,669",4,"10,000,000",104,"141,473","315,397,229",2025-01-13
25005,05,06,08,31,32,09,11,"1,135,025,880",4,"9,839,697",212,"54,953","313,119,385",2025-01-11
25004,02,05,09,13,33,01,07,"1,149,680,406",3,"10,000,000",102,"138,323","294,103,605",2025-01-08
25003,10,25,30,32,34,04,10,"1,125,887,685",1,"10,000,000",46,"385,970","302,634,553",2025-01-06
25002,19,21,22,28,32,06,09,"1,059,802,300",7,"8,977,032",90,"140,909","328,380,460",2025-01-04
25001,05,08,16,17,27,04,07,"1,083,648,909",12,"7,654,708",162,"62,463","300,925,149",2025-01-01
24152,01,02,07,08,31,02,10,"1,125,809,266",3,"10,000,000",145,"113,095","303,398,169",2024-12-30
24151,05,12,17,19,35,10,11,"1,100,535,289",5,"10,000,000",109,"146,038","315,044,922",2024-12-28
24150,04,11,23,25,34,05,07,"1,082,499,928",2,"10,000,000",146,"85,346","294,938,543",2024-12-25
24149,02,05,16,18,22,07,09,"1,046,459,747",3,"10,000,000",108,"110,866","293,475,449",2024-12-23
24148,06,09,20,32,35,08,11,"1,027,404,436",2,"10,000,000",119,"109,466","319,089,575",2024-12-21
24147,12,18,21,22,31,01,07,"981,658,901",0,0,75,"223,695","297,698,975",2024-12-18
24146,05,20,21,22,32,03,04,"912,659,139",6,"9,555,674",125,"106,831","296,215,559",2024-12-16
24145,01,06,09,22,24,01,03,"931,270,188",4,"10,000,000",95,"174,535","320,626,163",2024-12-14
24144,06,07,08,21,30,01,05,"901,592,547",4,"10,000,000",119,"119,813","298,735,511",2024-12-11
24143,16,20,22,24,31,04,05,"887,487,585",6,"9,370,240",144,"80,121","299,228,472",2024-12-09
24142,08,21,24,33,34,03,10,"908,929,975",13,"6,849,783",88,"112,528","327,282,822",2024-12-07
24141,02,06,07,16,20,02,11,"966,806,148",7,"8,545,200",154,"71,205","302,351,348",2024-12-04
24140,03,06,15,23,31,01,12,"992,732,461",4,"10,000,000",112,"128,171","313,586,274",2024-12-02
24139,05,12,20,23,24,05,07,"965,113,949",9,"8,236,640",160,"105,433","346,398,503",2024-11-30
24138,05,17,20,28,34,04,09,"1,009,101,192",3,"10,000,000",79,"190,337","314,640,260",2024-11-27
24137,08,15,16,17,21,02,05,"987,311,039",3,"10,000,000",119,"104,452","314,223,012",2024-11-25
24136,01,17,20,29,34,07,08,"975,020,597",1,"10,000,000",105,"165,661","339,548,742",2024-11-23
24135,06,08,22,24,30,03,08,"908,783,183",11,"7,341,497",290,"39,797","312,278,951",2024-11-20
24134,01,04,07,13,33,05,06,"961,163,599",4,"10,000,000",123,"112,009","315,446,181",2024-11-18
24133,08,10,14,22,29,04,06,"939,926,814",6,"10,000,000",105,"148,951","340,137,954",2024-11-16
24132,05,06,10,16,31,06,09,"940,646,992",6,"9,953,712",86,"140,888","313,339,293",2024-11-13
24131,02,03,04,21,26,02,03,"955,783,255",10,"8,892,360",86,"181,338","314,078,746",2024-11-11
24130,11,21,25,31,32,04,10,"986,242,259",6,"10,000,000",113,"132,321","324,915,160",2024-11-09
24129,07,19,30,31,34,05,07,"998,345,495",3,"10,000,000",78,"181,532","293,942,499",2024-11-06
24128,03,07,10,29,31,01,03,"966,301,156",2,"10,000,000",75,"214,022","295,772,015",2024-11-04
24127,02,03,10,16,28,07,10,"924,642,774",4,"10,000,000",146,"107,175","320,316,369",2024-11-02
24126,02,10,17,28,34,07,08,"905,005,034",5,"10,000,000",112,"122,664","294,045,224",2024-10-30
24125,10,14,19,24,26,01,10,"892,379,303",3,"10,000,000",77,"202,295","287,673,530",2024-10-28
24124,02,03,07,10,25,01,11,"858,545,811",5,"10,000,000",93,"148,884","305,128,586",2024-10-26
24123,03,09,16,30,31,08,09,"852,251,926",7,"9,140,228",200,"53,660","283,405,074",2024-10-23
24122,05,06,09,15,17,03,10,"873,167,406",2,"10,000,000",163,"67,642","280,871,730",2024-10-21
24121,07,15,18,24,33,04,05,"853,826,236",12,"7,033,857",168,"76,309","292,563,058",2024-10-19
24120,04,12,17,23,27,02,08,"921,780,534",7,"9,594,830",146,"82,997","280,844,941",2024-10-16
24119,06,12,28,30,33,02,07,"940,710,313",7,"9,881,541",71,"174,879","278,151,059",2024-10-14
24118,01,03,09,16,19,05,11,"958,387,740",15,"6,673,506",351,"24,262","300,619,285",2024-10-12
24117,02,10,22,26,28,02,04,"1,025,830,819",4,"9,706,493",177,"61,759","279,087,954",2024-10-09
24116,01,03,06,16,25,01,11,"1,040,962,748",1,"10,000,000",66,"203,919","263,019,108",2024-10-07
24115,03,04,12,19,24,08,12,"988,785,697",8,"7,465,766",128,"95,071","243,348,471",2024-10-05
24114,12,27,30,34,35,05,11,"1,038,006,420",3,"10,000,000",77,"190,925","290,854,587",2024-09-30
24113,16,18,25,26,33,04,08,"1,008,302,191",5,"10,000,000",122,"90,958","317,006,955",2024-09-28
24112,05,15,24,31,34,03,10,"1,014,832,821",1,"10,000,000",81,"157,205","283,593,275",2024-09-25
24111,03,09,19,27,30,07,11,"966,755,238",15,"6,071,953",249,"32,920","280,484,335",2024-09-23
24110,01,07,08,18,28,04,12,"1,060,908,946",2,"10,000,000",191,"53,245","307,601,707",2024-09-21
24109,12,23,26,27,28,03,11,"1,040,316,852",3,"10,000,000",96,"144,071","282,500,167",2024-09-18
24108,16,17,21,31,34,03,08,"1,012,698,648",7,"9,949,930",37,"391,432","270,720,268",2024-09-16
24107,06,14,16,18,34,03,10,"1,030,077,351",4,"10,000,000",135,"106,428","303,292,855",2024-09-14
